Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
INTERNATIONAL REVIEW OF THE RED CROSS,1816-3831,1607-5889,CAMBRIDGE UNIV PRESS,"EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU",English,Law
IOWA LAW REVIEW,0021-0552,,"UNIV IOWA, COLL LAW","290 BOYD LAW BLDG, IOWA CITY, USA, IA, 52242",English,Law
ISSUES IN LAW & MEDICINE,8756-8160,2377-6463,NATL LEGAL CENTER MEDICALLY DEPENDENT & DISABLED INC,"50 S MERIDIAN STE 200, INDIANAPOLIS, USA, IN, 46204-3537",English,Law
JOURNAL OF AFRICAN LAW,0021-8553,1464-3731,CAMBRIDGE UNIV PRESS,"EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU",English,Law
JOURNAL OF COMPETITION LAW & ECONOMICS,1744-6414,1744-6422,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,Economics | Law
JOURNAL OF CORPORATE LAW STUDIES,1473-5970,1757-8426,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Law
JOURNAL OF CRIMINAL LAW & CRIMINOLOGY,0091-4169,2160-0325,NORTHWESTERN UNIV,"SCHOOL OF LAW OFFICE OF LEGAL PUBLICATIONS 357 EAST CHICAGO AVE, CHICAGO, USA, IL, 60611-3069",English,Criminology & Penology | Law
JOURNAL OF EMPIRICAL LEGAL STUDIES,1740-1453,1740-1461,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Law
JOURNAL OF ENERGY & NATURAL RESOURCES LAW,0264-6811,2376-4538,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,Environmental Studies | Law
JOURNAL OF ENVIRONMENTAL LAW,0952-8873,1464-374X,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,Environmental Studies | Law
JOURNAL OF INTERNATIONAL CRIMINAL JUSTICE,1478-1387,1478-1395,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,Law
JOURNAL OF INTERNATIONAL DISPUTE SETTLEMENT,2040-3593,2040-3585,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,Law
JOURNAL OF INTERNATIONAL ECONOMIC LAW,1369-3034,1464-3758,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,Law
JOURNAL OF LAW AND SOCIETY,0263-323X,1467-6478,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Law | Sociology
JOURNAL OF LAW AND THE BIOSCIENCES,2053-9711,2053-9711,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,Ethics | Law
